    0.532      4.024    -166.68      32.99     198.89      64.48     -52.38     353.85     10.145     10.206      692.0     1423.0     1698.0     1372.0     -284.8      216.8  
    0.526      4.024    -166.68      32.99     212.31      64.32     -52.46     376.93     10.230     10.088      709.0      949.0     1890.0      977.0     -303.3      144.5  
    0.517      4.024    -166.68      32.99     238.06      64.01     -52.60     421.00     10.773      9.764     1674.0      209.0     1540.0      209.0     -351.6       57.9  
    0.507      4.024    -166.68      32.99     264.01      63.71     -52.75     465.07     10.945      9.765     1563.0      136.0     1741.0      163.0     -213.2       41.1  
    0.498      4.024    -166.68      32.99     290.15      63.41     -52.88     509.14     11.091      9.805     2095.0      117.0     1296.0       94.0     -125.7       33.7  
    0.489      4.024    -166.68      32.99     316.48      63.12     -53.02     553.21     11.165      9.852     2262.0      107.0     1037.0       68.0      -75.3       28.5  
    0.480      4.024    -166.68      32.99     342.99      62.82     -53.15     597.28     11.146      9.914     2290.0      127.0      905.0       70.0     -160.8       32.0  
    0.472      4.024    -166.68      32.99     369.68      62.53     -53.28     641.35     11.054      9.970     1904.0      154.0      843.0       96.0       -6.3       44.2  
    0.464      4.024    -166.68      32.99     396.56      62.24     -53.40     685.42     10.563     10.301      741.0      848.0     2186.0     1139.0      -96.6      167.1  
    0.456      4.024    -166.68      32.99     423.62      61.95     -53.52     729.49     10.923     10.117     2278.0      404.0     1569.0      340.0      -69.0      105.9  
    0.444      4.024    -166.68      32.99     463.89      61.53     -53.69     794.55     10.747     10.219     1568.0      606.0     1338.0      555.0     -260.0      170.1  
    0.433      4.024    -166.68      32.99     504.53      61.12     -53.86     859.60     10.879     10.340     2794.0      933.0     1231.0      590.0      -78.2      205.3  
    0.423      4.024    -166.68      32.99     545.54      60.70     -54.02     924.66     10.406     10.560      769.0     2020.0     1747.0     2369.0     -672.7      403.8  
    0.412      4.024    -166.68      32.99     586.92      60.30     -54.17     989.71      9.461     12.031     9999.99    9999.99    9999.99    9999.99    9999.99    9999.99 
    0.402      4.024    -166.68      32.99     628.66      59.89     -54.32    1054.77      9.905     11.037      774.0    15541.0      755.0    10005.0     -284.7     2851.7  
    0.393      4.024    -166.68      32.99     670.75      59.50     -54.46    1119.82     9999.99    9999.99    9999.99    9999.99    9999.99    9999.99    9999.99    9999.99 
    0.384      4.024    -166.68      32.99     713.19      59.10     -54.60    1184.88      9.141     12.251     9999.99    9999.99    9999.99    9999.99    9999.99    9999.99 
    0.375      4.024    -166.68      32.99     755.97      58.72     -54.73    1249.93     9999.99    9999.99    3237.0    11579.0      725.0     1377.0     -192.1     1054.0  
    0.368      4.024    -166.68      32.99     792.80      58.39     -54.84    1305.54     10.205     12.713     9999.99    9999.99    9999.99    9999.99   -2239.0    21593.4  
