DST1012*04RRX020   0   2   2   2   2   0  -3  -2   4  10  12  13  10   6   2   0   1   0  -2  -4  -2  -1  -3  -6  -7   2 0
DST1012*05RRX020   0  -7  -6  -4  -5  -4  -5  -7  -7  -4  -3   0   1   2   1   1   4   6   8  10   9   7   4   1  -4   0 0
DST1012*06RRX020   0  -3   0   5   4   5   3   3   0   2   2   2   3   5   6  10   8   2  -1  -1   7   7   1  -2  -2   3 0
DST1012*07RRX020   0  -2  -1   0   1   2   3   7   9  14  12  12   9   2  -9 -12  -3  -2  -3  -7  -8  -7  -7 -11 -13  -1 0
DST1012*08RRX020   0 -13 -11 -11 -10 -11  -9  -5  -3  -3   1  -2  -4  -5 -10 -13 -16 -14 -10 -10 -14 -15 -28 -10 -13 -10 1
DST1012*09RRX020   0 -15 -13 -13 -12  -8  -7  -7  -7  -5  -2   0  -1  -2  -6  -9  -8  -7  -7  -5  -3  -3  -6  -7  -7  -7 0
DST1012*10RRX020   0  -4  -1   2   5   5   5   3   4   5   1  -5  -4  -4  -6  -7  -5  -3  -1  -2  -4  -6  -8  -7  -5  -2 1
DST1012*11RRX020   0  -6  -5  -4  -3  -1   1   2   0   2   3   3   2   2  -3  -1   2   2   0   1  -1   0   0  -1   3   0 1
DST1012*12RRX020   0   5   7   8   9  10  10   9  10  13  12  11   9   5   2   5   8   3  -4  -3   1  -4  -2  -4  -5   5 1
DST1012*13RRX020   0 -15 -16 -10 -12 -14 -13 -14  -8  -9  -8  -9 -11 -11 -13 -14 -14 -15  -8  -6  -6 -11  -8 -11 -16 -11 1
DST1012*14RRX020   0 -18 -16 -16 -12  -9 -12 -10  -8  -7 -12 -12 -10 -10  -9  -6  -5 -13 -17 -19 -23 -26 -28 -32 -31 -15 1
DST1012*15RRX020   0 -21 -22 -23 -17 -16 -16 -19 -14 -11 -11 -12 -13 -11 -16 -15 -16 -18 -18 -19 -20 -19 -19 -20 -19 -17 1
DST1012*16RRX020   0 -16 -18 -18 -14  -9 -10 -12 -12 -12 -11 -11 -10 -10 -11 -12 -15 -16 -15 -14 -17 -15 -17 -21 -16 -14 1
DST1012*17RRX020   0 -16 -13 -10  -9  -6  -6  -7  -7  -4  -2  -2  -2  -4  -9 -11 -11 -15 -14 -10  -9 -11 -15 -13 -10  -9 1
DST1012*18RRX020   0  -9  -8  -9 -10  -9  -9  -7  -5  -3  -1  -2  -4 -10 -15 -16 -15 -13 -13 -11  -9  -9 -10 -11 -13  -9 1
