  96.00  0.58642E-01  0.11725E-05  0.17198E+03
  97.00  0.48593E-01  0.97092E-06  0.17163E+03
  98.00  0.40284E-01  0.80167E-06  0.17182E+03
  99.00  0.33430E-01  0.66014E-06  0.17261E+03
 100.00  0.27791E-01  0.54227E-06  0.17409E+03
 101.00  0.23160E-01  0.44454E-06  0.17634E+03
 102.00  0.19364E-01  0.36404E-06  0.17936E+03
 103.00  0.16254E-01  0.29808E-06  0.18313E+03
 104.00  0.13705E-01  0.24426E-06  0.18765E+03
 105.00  0.11614E-01  0.20046E-06  0.19291E+03
 106.00  0.98950E-02  0.16489E-06  0.19893E+03
 107.00  0.84791E-02  0.13601E-06  0.20570E+03
 108.00  0.73090E-02  0.11257E-06  0.21322E+03
 109.00  0.63387E-02  0.93539E-07  0.22147E+03
 110.00  0.55306E-02  0.78062E-07  0.23042E+03
 111.00  0.48546E-02  0.65455E-07  0.24003E+03
 112.00  0.42863E-02  0.55151E-07  0.25029E+03
 113.00  0.38063E-02  0.46697E-07  0.26121E+03
 114.00  0.33987E-02  0.39733E-07  0.27279E+03
 115.00  0.30510E-02  0.33975E-07  0.28499E+03
 116.00  0.27527E-02  0.29199E-07  0.29778E+03
 117.00  0.24957E-02  0.25223E-07  0.31107E+03
 118.00  0.22729E-02  0.21903E-07  0.32475E+03
 119.00  0.20788E-02  0.19124E-07  0.33867E+03
 120.00  0.19088E-02  0.16792E-07  0.35261E+03
 121.00  0.17590E-02  0.14831E-07  0.36632E+03
 122.00  0.16262E-02  0.13181E-07  0.37949E+03
 123.00  0.15077E-02  0.11790E-07  0.39173E+03
 124.00  0.14004E-02  0.10666E-07  0.40060E+03
 125.00  0.13038E-02  0.96595E-08  0.41022E+03
 126.00  0.12161E-02  0.87780E-08  0.41943E+03
 127.00  0.11363E-02  0.80023E-08  0.42824E+03
 128.00  0.10633E-02  0.73166E-08  0.43667E+03
 129.00  0.99653E-03  0.67078E-08  0.44474E+03
 130.00  0.93521E-03  0.61651E-08  0.45246E+03
 131.00  0.87878E-03  0.56796E-08  0.45985E+03
 132.00  0.82674E-03  0.52437E-08  0.46693E+03
 133.00  0.77865E-03  0.48510E-08  0.47370E+03
 134.00  0.73413E-03  0.44963E-08  0.48017E+03
 135.00  0.69284E-03  0.41749E-08  0.48638E+03
 136.00  0.65448E-03  0.38829E-08  0.49231E+03
 137.00  0.61878E-03  0.36170E-08  0.49799E+03
 138.00  0.58552E-03  0.33743E-08  0.50343E+03
 139.00  0.55448E-03  0.31522E-08  0.50863E+03
 140.00  0.52548E-03  0.29485E-08  0.51361E+03
 141.00  0.49835E-03  0.27614E-08  0.51838E+03
